handle,domain,eligible_for_bounty
aeromexico_vdp,https://www.aeromexicobusiness.com,False
aeromexico_vdp,https://www.aeromexicovacations.com,False
aeromexico_vdp,https://www.aeromexicorewards.com,False
aeromexico_vdp,https://www.aeromexico.com/es-mx/aeromexico-rewards,False
aeromexico_vdp,https://amfacturacion.aeromexico.com,False
aeromexico_vdp,https://facturacion.aeromexico.com,False
aeromexico_vdp,https://portalfacturacioncargo.aeromexico.com,False
transunion,fraud.transunion.com,False
transunion,*.tui.transunion.com,False
transunion,*.transunioncentralamerica.com,False
transunion,*.transunion.mx,False
transunion,*.transunion.ca,False
transunion,*.transunion.co.uk,False
transunion,*.transunion.do,False
transunion,*.transunion.co.br,False
transunion,freeze.transunion.com,False
transunion,*.chile.transunion.com,False
transunion,*.transunion.hk,False
transunion,checkmyscore.transunion.com,False
transunion,*.transunion.com,False
transunion,disclosure.transunion.com,False
transunion,*.neustarcare.com,False
transunion,*.transunion.co.za,False
transunion,*.transunion.ph,False
transunion,dispute.transunion.com,False
transunion,service.transunion.com,False
transunion,*.transunionafrica.com,False
transunion,*.npac.com,False
transunion,*.neustar.biz,False
transunion,*.neustar,False
transunion,*.transunion.com,False
transunion,*.tui.transunion.com,False
transunion,*.transunion.co.za,False
transunion,*.transunionafrica.com,False
transunion,*.transunion.hk,False
transunion,*.transunion.ph,False
transunion,*.transunion.co.uk,False
transunion,*.transunion.co.br,False
transunion,*.transunion.do,False
transunion,*.chile.transunion.com,False
transunion,*.transunioncentralamerica.com,False
transunion,*.transunion.mx,False
transunion,*.transunion.ca,False
transunion,*.neustar,False
transunion,*.neustar.biz,False
transunion,*.neustarcare.com,False
transunion,*.npac.com,False
transunion,service.transunion.com,False
transunion,freeze.transunion.com,False
transunion,disclosure.transunion.com,False
transunion,dispute.transunion.com,False
transunion,fraud.transunion.com,False
transunion,checkmyscore.transunion.com,False
ionity_gmbh,support.ionity.eu,False
ionity_gmbh,payment.ionity.eu,False
ionity_gmbh,*.ionity.cloud,False
ionity_gmbh,*.ionity.eu,False
ionity_gmbh,*.ionity.eu,False
ionity_gmbh,*.ionity.cloud,False
ionity_gmbh,payment.ionity.eu,False
ionity_gmbh,support.ionity.eu,False
lowes,lowes.com,False
lowes,lowes.com,False
banco_bmg,*.help.com.br,False
banco_bmg,*.bmgconsig.com.br,False
banco_bmg,*.bancobmg.com.br,False
banco_bmg,*.bancobmg.com.br,False
banco_bmg,*.bmgconsig.com.br,False
banco_bmg,*.help.com.br,False
rei_vdp,login.rei.com,False
rei_vdp,engineering.rei.com,False
rei_vdp,rei.com,False
rei_vdp,rei.com,False
rei_vdp,http://rei.com/adventures,False
rei_vdp,http://rei.com/events,False
rei_vdp,engineering.rei.com,False
rei_vdp,login.rei.com,False
rei_vdp,http://www.rei.com/learn/expert-advice,False
rei_vdp,http://collaboration.rei.com,False
dyson,api.dyson.se,True
dyson,api.dyson.dk,True
dyson,api.dyson.nl,True
dyson,api.dyson.be,True
dyson,api.dyson.pt,True
dyson,api.dyson.no,True
dyson,api.dyson.de,True
dyson,api.dyson.ch,True
dyson,api.dyson.ie,True
dyson,shop.dyson.ru,True
dyson,www.dyson.fr,True
dyson,www.dyson.co.th,True
dyson,www.dyson.it,True
dyson,www.dyson.de,True
dyson,www.dyson.cz,True
dyson,www.dyson.nl,True
dyson,www.dyson.hu,True
dyson,shop.dyson.co.za,True
dyson,www.dyson.at,True
dyson,api.dyson.it,True
dyson,*.dyson.com,True
dyson,www.dyson.co.uk,True
dyson,www.dyson.com,True
dyson,www.dysoncanada.ca,True
dyson,www.dyson.it,True
dyson,www.dyson.ie,True
dyson,www.dyson.ch,True
dyson,www.dyson.se,True
dyson,www.dyson.nl,True
dyson,www.dyson.at,True
dyson,www.dyson.be,True
dyson,www.dyson.pt,True
dyson,www.dyson.de,True
dyson,www.dyson.fr,True
dyson,www.dyson.no,True
dyson,www.dyson.dk,True
dyson,www.dyson.es,True
dyson,www.fi.dyson.com,True
dyson,api.dyson.se,True
dyson,api.dysoncanada.ca,True
dyson,api.dyson.dk,True
dyson,api.dyson.it,True
dyson,api.dyson.es,True
dyson,api.dyson.co.uk,True
dyson,api.dyson.at,True
dyson,api.dyson.nl,True
dyson,api.dyson.be,True
dyson,api.dyson.pt,True
dyson,api.dyson.no,True
dyson,api.dyson.de,True
dyson,api.dyson.ch,True
dyson,api.dyson.fr,True
dyson,api.dyson.ie,True
dyson,api.dyson.com,True
dyson,api.fi.dyson.com,True
dyson,www.dyson.pl,True
dyson,www.dyson.in,True
dyson,www.dyson.com.mx,True
dyson,www.dyson.com.sg,True
dyson,www.dyson.co.kr,True
dyson,www.dyson.co.nz,True
dyson,www.dyson.com.tr,True
dyson,www.dyson.ae,True
dyson,www.dyson.co.il,True
dyson,www.dyson.com.au,True
dyson,www.dyson.hk,True
dyson,www.dyson.co.th,True
dyson,www.dyson.my,True
dyson,shop.dyson.co.za,True
dyson,www.sa.dyson.com,True
dyson,www.dyson.cz,True
dyson,www.dyson.hu,True
dyson,www.dyson.co.jp,True
dyson,www.dyson.com.ro,True
dyson,www.dyson.vn,True
dyson,*.cp.dyson.com,True
dyson,www.dyson.cn,True
dyson,shop.dyson.ru,True
dyson,www.dyson.com.ua,True
dyson,shop.dyson.tw,True
dyson,www.dyson.tw,True
dyson,*.dyson.com,True
truecaller,ads-audience-ingestion-noneu.truecaller.com,True
truecaller,ads-audience-uploader.truecaller.com,True
truecaller,ads-rules-asia-south1.truecaller.com,True
truecaller,ads-rules-noneu.truecaller.com,True
truecaller,ads5-asia-south1.truecaller.com,True
truecaller,api4-asia-south1.truecaller.com,True
truecaller,apigw-noneu.truecaller.com,True
truecaller,assure-noneu.truecaller.com,True
truecaller,audience-uploader-asia-south1.truecaller.com,True
truecaller,audience-uploader-noneu.truecaller.com,True
truecaller,audience-uploader.truecaller.com,True
truecaller,auth4-asia-south1.truecaller.com,True
truecaller,auth4-noneu.truecaller.com,True
truecaller,backup.truecaller.com,True
truecaller,batchlogging4.truecaller.com,True
truecaller,callkit-asia-south1.truecaller.com,True
truecaller,comments-asia-south1.truecaller.com,True
truecaller,comments-noneu.truecaller.com,True
truecaller,company-profile-asia-south1.truecaller.com,True
truecaller,company-profile-noneu.truecaller.com,True
truecaller,contact-lists-noneu.truecaller.com,True
truecaller,contact-request-stateless-noneu.truecaller.com,True
truecaller,contact-upload4-asia-south1.truecaller.com,True
truecaller,contact-upload4.truecaller.com,True
truecaller,device-safety-asia-south1.truecaller.com,True
truecaller,duo-eu.truecaller.com,True
truecaller,duo-invite-eu.truecaller.com,True
truecaller,duo-invite-noneu.truecaller.com,True
truecaller,duo-invite.truecaller.com,True
truecaller,duo-noneu.truecaller.com,True
truecaller,duo.truecaller.com,True
truecaller,email-verification-noneu.truecaller.com,True
truecaller,enterprise-auth-noneu.truecaller.com,True
truecaller,enterprise-bizengage-noneu.truecaller.com,True
truecaller,enterprise-biznumbers-noneu.truecaller.com,True
truecaller,enterprise-feedback-noneu.truecaller.com,True
truecaller,enterprise-service-management-noneu.truecaller.com,True
truecaller,enterprise-survey-asia-south1.truecaller.com,True
truecaller,enterprise-survey-noneu.truecaller.com,True
truecaller,enterprise-webhooks-noneu.truecaller.com,True
truecaller,feedback-asia-south1.truecaller.com,True
truecaller,filter-store4-asia-south1.truecaller.com,True
truecaller,filter-store4.truecaller.com,True
truecaller,images-asia-south1.truecaller.com,True
truecaller,images.truecaller.com,True
truecaller,insights-categorizer-noneu.truecaller.com,True
truecaller,leadgen-asia-south1.truecaller.com,True
